categoria,citta,nome,indirizzo,telefono,sito,descrizione,note
Ristoranti/Pizzerie,Varese,Locanda del Chierichetto,"Piazza Bartolomeo Bai, 1 - 21046 Malnate (VA)",0332 861725,,,
Ristoranti/Pizzerie,Varese,Orchidea,"Via Gaetano Donizetti, 5 - 21100 Varese (VA)","0332 282515, 0332 240053, 347 2749169",,,
Ristoranti/Pizzerie,Varese,Premiata Gnoccheria Risotteria - Varese,"Via Carlo Cattaneo, 1 - 21100 Varese (VA)","0332 831717, 347 0124631",,,
Ristoranti/Pizzerie,Varese,Agriturismo Il Quadrifoglio,"Via Vetta D'Italia, 40 - 21100 Varese (VA)",348 5924238,,,
Ristoranti/Pizzerie,Varese,Ristorante Pizzeria La Piazza da Luis,"Via Carletto Ferrari, 48 - 21100 Bizzozero (VA)","0332 1951549, 346 2115378",,,
Ristoranti/Pizzerie,Varese,Corte degli Sforza,"Via Gaggio, 9 - 48033 Budrio (RA)","0545 78388, 339 7406307",,,
Ristoranti/Pizzerie,Varese,Ristorante Trattoria del Ponte,"Via Peregallo, 1 - 20836 Briosco (MB)",0362 95004,,,
Ristoranti/Pizzerie,Varese,Iper La Grande I - Varese,,0332 345611,,,
Ristoranti/Pizzerie,Varese,La Piadineria,,0332 1430695,,,
Ristoranti/Pizzerie,Varese,Portello Caffe Varese Belforte,,0332 345793,,,
Ristoranti/Pizzerie,Varese,Ristò - Varese,,0332 345790,,,
Ristoranti/Pizzerie,Varese,Rom'Antica Varese,,0383 813531,,,
Ristoranti/Pizzerie,Varese,Rossopomodoro Malpensa Aeroporto,,,,,
Ristoranti/Pizzerie,Varese,Locanda Conte,"Via Santa Maria Maddalena, 18 - 21100 Varese (VA)",328 6998689,,,
Ristoranti/Pizzerie,Varese,Round Cafè,"Viale Belforte, 250 - 21100 Varese (VA)",339 8594239,,,
Ristoranti/Pizzerie,Varese,Dimsum Ye,"Viale Valganna, 39 - 21100 Varese (VA)",351 5774456,,,
Ristoranti/Pizzerie,Varese,Mareamore | Varese,"Via Parini Giuseppe, 61 - 21100 Varese (VA)",375 8092368,,,
Ristoranti/Pizzerie,Varese,Circolo di Capolago,"Via Fe', 21 - 21100 Varese (VA)","0331 887181, 388 2453966, 328 1813137",,,
Ristoranti/Pizzerie,Varese,La Terrazza,"Via Merano, 6 - 21100 Varese (VA)",346 9852210,,,
Ristoranti/Pizzerie,Varese,Vibes,"Via Donizetti Gaetano, 1 - 21100 Varese (VA)",388 8249657,,,
Ristoranti/Pizzerie,Varese,W11 Original Alpine Restaurant,"Via Veratti Cesare Giulio, 56 - 21100 Varese (VA)",327 1752751,,,
Ristoranti/Pizzerie,Varese,Le Arcate,"Via Jamoretti, 12 - 21100 Varese (VA)",348 5258308,,,
Ristoranti/Pizzerie,Varese,Tana D'Orso,"Via Mottarone, 43 - 21100 Varese (VA)",0332 320392,,,
Ristoranti/Pizzerie,Varese,Mikuna,"Via Bizzozero Giulio, 18 - 21100 Varese (VA)",327 4257281,,,
Ristoranti/Pizzerie,Varese,Miralago,,0331 953284,,,
Ristoranti/Pizzerie,Varese,Ristorante Negri,"Via Giuseppe Mazzini, 26 - 22030 Pusiano (CO)",031 655706,,,
Ristoranti/Pizzerie,Varese,Ristorante Pizzeria Marialia,Via Serenza - 22070 Capiago Intimiano (CO),031 462302,,,
Ristoranti/Pizzerie,Varese,Le Grotte di Valganna,"Via Valganna, 17 - 21056 Induno Olona (VA)","0332 200193, 0332 1880579",,,
Ristoranti/Pizzerie,Varese,Mareamore,"Via Parini Giuseppe, 61- 21100 Varese (VA)",,,,
Ristoranti/Pizzerie,Varese,Mizu Fusion,"Via Ponti Ettore, 126- 21100 Varese (VA)",,,,
Ristoranti/Pizzerie,Varese,Volo a Vela,"Lungo Lago, 45- 21100 Varese (VA)",,,,
Ristoranti/Pizzerie,Varese,Haru Japan Fusion,"Via Cavour Camillo Benso Conte, 22- 21100 Varese (VA)",,,,
Ristoranti/Pizzerie,Varese,101%,"Vicolo San Michele, 2- 21100 Varese (VA)",,,,
Ristoranti/Pizzerie,Varese,Ato Sushi,"Piazza della Liberta', 6- 21100 Varese (VA)",,,,
Ristoranti/Pizzerie,Varese,Falò Cafè,"Piazza Motta, 9- 21100 Varese (VA)",,,,
Ristoranti/Pizzerie,Varese,Gastronomia del Corso,"Corso Matteotti Giacomo, 68- 21100 Varese (VA)",,,,
Ristoranti/Pizzerie,Varese,Haveli,"Piazza Battistero, 4- 21100 Varese (VA)",,,,
Ristoranti/Pizzerie,Varese,I Love Poke C/O Le Corti,"Piazza della Repubblica, 25- 21100 Varese (VA)",,,,
Ristoranti/Pizzerie,Como,Numeronove,"Piazza Mazzini Giuseppe, 5 - 22100 Como (CO)",031 272858,,,
Ristoranti/Pizzerie,Como,Hotel Metropole Suisse,"Piazza Camillo Benso Conte di Cavour, 19 - 22100 Como (CO)",031 269444,,,
Ristoranti/Pizzerie,Como,Ristorante Imbarcadero,"Piazza Camillo Benso Conte di Cavour, 20 - 22100 Como (CO)",031 270166,,,
Ristoranti/Pizzerie,Como,Albergo del Duca,"Piazza Mazzini, 12 - 22100 Como (CO)",031 264859,,,
Ristoranti/Pizzerie,Como,Ristorante Le Colonne,"Piazza Mazzini, 12 - 22100 Como (CO)",031 266166,,,
Ristoranti/Pizzerie,Como,Ristorante Osteria dal Pain,"Piazza Giovanni Amendola, 4 - 22100 Como (CO)",031 2495815,,,
Ristoranti/Pizzerie,Como,Ristorante Officina 12,,02 89422261,,,
Ristoranti/Pizzerie,Como,Chalet Gabriele,"Località Prà Filippo, 60 - 22021 Bellagio (CO)","031 963624, 338 4238203",,,
Ristoranti/Pizzerie,Como,Polentoteca Chalet Gabriele,"Località Prà Filippo, 60 - 22021 Bellagio (CO)","031 963624, 338 4238203",,,
Ristoranti/Pizzerie,Como,Ristorante Bar Diavolo,"Via All' Alpe, 9 - 22030 Bellagio (CO)",031 963179,,,
Ristoranti/Pizzerie,Como,La Piazzetta,"Via Amedeo Modigliani, 3 - 26841 Casalpusterlengo (LO)",0377 84988,,,
Ristoranti/Pizzerie,Como,Ristorante Albergo La Genzianella,"Località San Primo, 4 - 22021 Bellagio (CO)","031 964605, 031 964734",,,
Ristoranti/Pizzerie,Como,Agriturismo Binda,"Via Piano del Tivano, 6 - 22030 Sormano (CO)",347 5230139,,,
Ristoranti/Pizzerie,Como,Rom'Antica Como,,0383 813442,,,
Ristoranti/Pizzerie,Como,Rossopomodoro Como,"Via Lambertenghi, 3 - 22100 Como (CO)",031 2496055,,,
Ristoranti/Pizzerie,Como,La Cava dei Sapori,"Via Guido da Como, 2 - 22100 Como (CO)",031 520812,,,
Ristoranti/Pizzerie,Como,Antichi Sapori di Alberto Carleo,"Via Rienza, 4 - 22100 Como (CO)",371 4291481,,,
Ristoranti/Pizzerie,Como,Ciàpa fiaa,,031 305419,,,
Ristoranti/Pizzerie,Como,Giuliani,"Piazza Alcide De Gasperi, 9 - 22100 Como (CO)",031 3100087,,,
Ristoranti/Pizzerie,Como,Crotto Civiglio,"Via Antonio Cantore, 6 - 22100 Como (CO)",031 364083,,,
Ristoranti/Pizzerie,Como,M&M Caffe,,349 2923944,,,
Ristoranti/Pizzerie,Como,Rima Bar di Abdullahi Hauwa,"Via Napoleona, 4 - 22100 Como (CO)",345 8114319,,,
Ristoranti/Pizzerie,Como,Ristorante Pizzeria Marialia,,031 462302,,,
Ristoranti/Pizzerie,Como,Cascina Biancotti,Località Pian Gembro - 23030 Villa di Tirano (SO),"0342 747061, 328 7784347",,,
Ristoranti/Pizzerie,Como,Trattoria Genuisi' Cucina Territoriale,"Via Montorfano, 28 - 25030 Coccaglio (BS)",030 7701656,,,
Ristoranti/Pizzerie,Como,La Pergola Ristorante - Pizzeria,"Via Ponchielli, 23 - 20900 Monza (MB)",039 2300999,,,
Ristoranti/Pizzerie,Como,Comi107,"Via Borgo Vico, 107- 22100 Como (CO)",,,,
Ristoranti/Pizzerie,Como,Fassushi Como,"Via Borgo Vico, 59- 22100 Como (CO)",,,,
Ristoranti/Pizzerie,Como,Il Diavolo L'Acqua Santa,"Via San Giacomo, 36/A- 22100 Como (CO)",,,,
Ristoranti/Pizzerie,Como,Vintage Jazz Food&Wine,"Via Olginati, 14- 22100 Como (CO)",,,,
Ristoranti/Pizzerie,Como,Er Più,"Via Pastrengo, 1- 22100 Como (CO)",,,,
Ristoranti/Pizzerie,Como,Hommus Como,"Largo Leopardi Giacomo, 20- 22100 Como (CO)",,,,
