fonte,categoria,citta,nome,indirizzo,telefono,sito,descrizione,note
PagineGialle,Hotel/B&B,Varese,Hotel Ristorante Eden,"Via Elvezia, 39 - 21050 Gaggiolo (VA)","0332 414007, 339 1433079",,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,"Via Walder Giuseppe Vincenzo, 45 - 21100 Varese (VA)",,,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,"Via Macchi Giovanni, 61 - 21100 Varese (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Piscina,"Via Broggi Giuseppe, 7 - 21100 Varese (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Vecchia Riva,"Via Macchi Giovanni, 146/142 - 21100 Varese (VA)","0332 329335, 0332 329300, 351 8091684",,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,"Via Tonale, 10 - 21100 Varese (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Mariuccia,"Via Macchi Giovanni, 141 - 21100 Varese (VA)",0332 1570927,,,
PagineGialle,Hotel/B&B,Varese,Art Hotel,"Viale Aguggiari Padre Gian Battista, 26 - 21100 Varese (VA)","0332 214000, 340 8235668",,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,"Via per Bodio, 74 - 21100 Varese (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Europa,"Piazza Beccaria Cesare, 1 - 21100 Varese (VA)","0332 280170, 338 8718855",,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,"Viale Belforte, 114 - 21100 Varese (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Colonne,"Via Fincara', 37/A - 21100 Varese (VA)",0332 220404,,,
PagineGialle,Hotel/B&B,Varese,Agriturismo dei Piaceri Campestri,"Via del Puntale, 20 - 21100 Varese (VA)",0332 320831,,,
PagineGialle,Hotel/B&B,Varese,Al Borducan,"Via Moriggi Beata Caterina, 43 - 21100 Varese (VA)",0332 220567,,,
PagineGialle,Hotel/B&B,Varese,Al Sei Rooms,"Via Speri della Chiesa Jemoli, 6 - 21100 Varese (VA)",338 5777307,,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,"Via Pasetti Giuseppe, 18 - 21100 Varese (VA)",,,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,"Via Fusinato Arnaldo, 35 - 21100 Varese (VA)",,,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,Via Fincara' 37a - 21100 Varese (VA),,,,
PagineGialle,Hotel/B&B,Varese,Casa Radiosa,"Via Piave, 1 - 21100 Varese (VA)",351 6725671,,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,"Via Medaglie D'Oro, 35 - 21100 Varese (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Servizio taxi,Via Giuseppe Speroni 10 - 21100 Varese (VA),,,,
PagineGialle,Hotel/B&B,Varese,De Filippis Patrizia,"Via Leopardi Giacomo, 19 - 21100 Varese (VA)",338 7303017,,,
PagineGialle,Hotel/B&B,Varese,Piscina,"Piazza Monte Grappa, 4 - 21100 Varese (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Hotel di Varese,"Via Como, 12 - 21100 Varese (VA)",0332 237559,,,
PagineGialle,Hotel/B&B,Varese,La Brughiera,Via Arturo Ferrarin 7 Crowne Plaza Milan - 21100 Varese (VA),0331 21161,,,
PagineGialle,Hotel/B&B,Varese,Medioevo Varese,"Piazza Venti Settembre, 6 - 21100 Varese (VA)",393 1515880,,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,"Via Manara Luciano, 11 - 21100 Varese (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Palace Grand Hotel Varese,"Via Manara Luciano, 11 - 21100 Varese (VA)",0332 327100,,,
PagineGialle,Hotel/B&B,Varese,Piscina,"Via Cairoli Ernesto, 5 - 21100 Varese (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Sacro Monte,"Via Bianchi S., 5 - 21100 Varese (VA)","0332 229655, 366 8733158",,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,Via Ambrogio Zonda 22 - 21100 Varese (VA),,,,
