fonte,categoria,citta,nome,indirizzo,telefono,sito,descrizione,note
PagineGialle,Ristoranti/Pizzerie,Varese,Locanda del Chierichetto,"Piazza Bartolomeo Bai, 1 - 21046 Malnate (VA)",0332 861725,https://lalocandadelchierichetto.it/,,
PagineGialle,Ristoranti/Pizzerie,Varese,Mareamore,"Via Parini Giuseppe, 61- 21100 Varese (VA)",375 8092368,https://ristorantemareamore.it/,,
PagineGialle,Ristoranti/Pizzerie,Varese,Circolo di Capolago,"Via Fe', 21- 21100 Varese (VA)","0331 887181, 388 2453966, 328 1813137",https://www.circolodicapolagovarese.it/,,
PagineGialle,Ristoranti/Pizzerie,Varese,La Terrazza,"Via Merano, 6- 21100 Varese (VA)",346 9852210,https://ristorantelaterrazzavarese.com/,,
PagineGialle,Ristoranti/Pizzerie,Varese,Vibes,"Via Donizetti Gaetano, 1- 21100 Varese (VA)",388 8249657,,,
PagineGialle,Ristoranti/Pizzerie,Varese,W11 Original Alpine Restaurant,"Via Veratti Cesare Giulio, 56- 21100 Varese (VA)",327 1752751,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Le Arcate,"Via Jamoretti, 12- 21100 Varese (VA)",348 5258308,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Tana D'Orso,"Via Mottarone, 43- 21100 Varese (VA)",0332 320392,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Mikuna,"Via Bizzozero Giulio, 18- 21100 Varese (VA)",327 4257281,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Miralago,"Via Mogno, 441/CADREZZATE- 21100 Varese (VA)",0331 953284,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Ristorante Pizzeria La Piazza da Luis,"Via Carletto Ferrari, 48 - 21100 Bizzozero (VA)","0332 1951549, 346 2115378",,,
PagineGialle,Ristoranti/Pizzerie,Varese,Wifi gratuito,"Via Peregallo, 1 - 20836 Briosco (MB)",,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Mizu Fusion,"Via Ponti Ettore, 126- 21100 Varese (VA)","0332 1896742, 339 6869746",,,
PagineGialle,Ristoranti/Pizzerie,Varese,Volo a Vela,"Lungo Lago, 45- 21100 Varese (VA)","0332 310170, 338 3480080",,,
PagineGialle,Ristoranti/Pizzerie,Varese,Haru Japan Fusion,"Via Cavour Camillo Benso Conte, 22- 21100 Varese (VA)","0332 281492, 333 7413228",,,
PagineGialle,Ristoranti/Pizzerie,Varese,"Vicolo San Michele, 2- 21100 Varese (VA)","Piazza della Liberta', 6- 21100 Varese (VA)",,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Falò Cafè,"Piazza Motta, 9- 21100 Varese (VA)",0332 237992,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Gastronomia del Corso,"Corso Matteotti Giacomo, 68- 21100 Varese (VA)",0332 285330,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Haveli,"Piazza Battistero, 4- 21100 Varese (VA)",0332 974734,,,
PagineGialle,Ristoranti/Pizzerie,Varese,I Love Poke C/O Le Corti,"Piazza della Repubblica, 25- 21100 Varese (VA)",375 6109740,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Iper La Grande I - Varese,Viale Belforte 315 - 21100 Varese (VA),0332 345611,,,
PagineGialle,Ristoranti/Pizzerie,Varese,La Piadineria,Piazzale Trieste 6 - 21100 Varese (VA),0332 1430695,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Portello Caffe Varese Belforte,Viale Belforte 315 - 21100 Varese (VA),0332 345793,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Ristò - Varese,Centro Commerciale 315 Viale Belforte - 21100 Varese (VA),0332 345790,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Rom'Antica Varese,Piazza Monte Grappa 4 - 21100 Varese (VA),0383 813531,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Rossopomodoro Malpensa Aeroporto,Terminal 1 Malpensa - Aeroporto - 21010 Varese (VA),,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Dimsum Ye,"Viale Valganna, 39 - 21100 Varese (VA)",351 5774456,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Circolo di Capolago,"Via Fe', 21 - 21100 Varese (VA)","0331 887181, 388 2453966, 328 1813137",,,
PagineGialle,Ristoranti/Pizzerie,Varese,Vibes,"Via Donizetti Gaetano, 1 - 21100 Varese (VA)",388 8249657,,,
PagineGialle,Ristoranti/Pizzerie,Varese,W11 Original Alpine Restaurant,"Via Veratti Cesare Giulio, 56 - 21100 Varese (VA)",327 1752751,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Le Arcate,"Via Jamoretti, 12 - 21100 Varese (VA)",348 5258308,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Tana D'Orso,"Via Mottarone, 43 - 21100 Varese (VA)",0332 320392,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Miralago,"Via Mogno, 441/CADREZZATE - 21100 Varese (VA)",0331 953284,,,
PagineGialle,Ristoranti/Pizzerie,Varese,El Crocante,"Via Rodari Gianni, 18 - 21100 Varese (VA)",328 7572594,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Numa Pizzeria Bar,"Viale Belforte, 165 - 21100 Varese (VA)",328 6259415,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Ossobuco,"Via Europa, 72 - 21100 Varese (VA)",0332 285645,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Ristorante da Amici,"Piazza Ventisei Maggio, 14 - 21100 Varese (VA)",351 4288250,,,
PagineGialle,Ristoranti/Pizzerie,Varese,Ristorante Pizzeria San Michele,"Via Giusti Giuseppe, 7 - 21100 Varese (VA)","0332 1951549, 346 2115378",,,
PagineGialle,Ristoranti/Pizzerie,Varese,Al Vecchio Convento,"Viale Borri Luigi, 348 - 21100 Varese (VA)","0332 261005, 340 2390313",,,
