fonte,categoria,citta,nome,indirizzo,telefono,sito,descrizione,note,punteggio
PagineGialle,Ristoranti/Pizzerie,Varese,Mareamore,"Via Parini Giuseppe, 61- 21100 Varese (VA)",375 8092368,https://ristorantemareamore.it/,"Ristorante di pesce a Varese con area bimbi, ingredienti freschi e atmosfera familiare. Dispone di cucina professionale con attrezzature per pesce, celle frigorifere e forni. Potenziali consumi medio-alti per refrigeration e cottura.",Il pesce fresco richiede catene del freddo costanti: possiamo proporre audit energetico su refrigeration e cottura per tagliare costi.,7
PagineGialle,Ristoranti/Pizzerie,Varese,Circolo di Capolago,"Via Fe', 21- 21100 Varese (VA)","0331 887181, 388 2453966, 328 1813137",https://www.circolodicapolagovarese.it/,"Circolo/Craft beer pub con griglieria, hamburger e selezione di birre alla spina. Dispone di cucina per carne alla griglia, fritti e panini. Potenziali consumi energetici medi per cucina e refrigeration.","Con griglieria e birre alla spina (refrigeration), offriamo consulenza su efficienza frigoriferi e ottimizzazione cottura.",6
PagineGialle,Ristoranti/Pizzerie,Varese,La Terrazza,"Via Merano, 6- 21100 Varese (VA)",346 9852210,https://ristorantelaterrazzavarese.com/,"Ristorante gourmet dal 1998 con cucina di pesce e carne, sala elegante e atmosfera raffinata. Dispone di cucina professionale con attrezzature specializzate. Cliente storico con potenziale di espansione.",Ristorante consolidato con oltre 20 anni: possiamo proporre audit energetico completo per ridurre costi operativi.,7
PagineGialle,Ristoranti/Pizzerie,Varese,Vibes,"Via Donizetti Gaetano, 1- 21100 Varese (VA)",388 8249657,https://www.vibesvarese.it/,"Wine bar con cocktail, tapas e selezione vini a Varese. Aperto principalmente sera con orario ridotto. Attrezzatura limitata a banco bar, piccola cucina per tapas e frigoriferi vini. Consumi energetici medio-bassi.",Locale serale con consumi ridotti: valutare se ha interesse per efficienza frigoriferi e illuminazione.,4
PagineGialle,Ristoranti/Pizzerie,Varese,W11 Original Alpine Restaurant,"Via Veratti Cesare Giulio, 56- 21100 Varese (VA)",327 1752751,https://www.w-11.it/,[HTTP 403],,5
PagineGialle,Ristoranti/Pizzerie,Varese,Le Arcate,"Via Jamoretti, 12- 21100 Varese (VA)",348 5258308,http://www.ristorantelearcate.it/,"Ristorante e pizzeria dal 1986 con forno a legna, cucina mediterranea, due sale e taverna. Dispone di forno a legna, cucina per pesce e carne, pasta fresca fatta in casa. Potenziali consumi medio-alti per attrezzature multiple.",Attivo dal 1986 con forno a legna e ampia offerta: ideale per audit su efficienza energetica cucina e refrigeration.,7
PagineGialle,Ristoranti/Pizzerie,Varese,Tana D'Orso,"Via Mottarone, 43- 21100 Varese (VA)",0332 320392,http://www.ristorantetanadorso.it/,"Ristorante elegante in Borgo Mustonate (Varese) con 150 coperti, specializzato in cucina lombarda e piemontese. Dispone di due piani, sale per eventi e matrimoni, giardino. Cucina professionale diretta da chef. Alti consumi energetici per climatizzazione e cucina.",Location eventi con oltre 150 coperti e climatizzazione estensiva: target ideale per efficienza energetica e risparmio.,8
PagineGialle,Ristoranti/Pizzerie,Varese,Mikuna,"Via Bizzozero Giulio, 18- 21100 Varese (VA)",327 4257281,https://www.mikunaitalia.it/,"Ristorante peruviano autentico in centro Varese con cucina tradizionale (ceviche, lomo saltado). Cucina professionale con refrigeration per pesce fresco. Locale medio-piccolo, potenziali consumi medi.",Cucina etnica con refrigeration per pesce: proporre audit su efficienza catena del freddo.,6
PagineGialle,Ristoranti/Pizzerie,Varese,Miralago,"Via Mogno, 441/CADREZZATE- 21100 Varese (VA)",0331 953284,http://www.villamiralago.it/,"Centro specializzato per disturbi alimentari con struttura residenziale, piscina e palestra. Non e' un ristorante ma una struttura sanitaria. Consumi energetici alti per climatizzazione, piscina e attrezzature mediche.",Struttura sanitaria con piscina e climatizzazione: target fuori dal core business ma con alti consumi.,3
PagineGialle,Ristoranti/Pizzerie,Varese,Ristorante Pizzeria La Piazza da Luis,"Via Carletto Ferrari, 48 - 21100 Bizzozero (VA)","0332 1951549, 346 2115378",,Sito web non disponibile per Ristorante Pizzeria La Piazza da Luis. Contattare per verificare.,,4
