fonte,categoria,citta,nome,indirizzo,telefono,sito,descrizione,note
GoogleMaps,Ristoranti/Pizzerie,Varese,Osteria del Tortellino - Varese,"Via Francesco Crispi, 110, 21100 Varese VA, Italia",0332 315396,http://www.osteriadeltortellinovarese.it/,,Rating: 4.5/469
GoogleMaps,Ristoranti/Pizzerie,Varese,Ristorante Bologna - Varese,"Via Broggi, 7, 21100 Varese VA, Italia",0332 234362,https://www.ristorantebologna.varese.it/,,Rating: 4.5/655
GoogleMaps,Ristoranti/Pizzerie,Varese,Locanda delle stagioni,"Largo Giannantonio Prinetti Castelletti, 2, 21013 Gallarate VA, Italia",351 933 1430,https://leggimenu.it/menu/7tq41dan76,,Rating: 4.9/204
GoogleMaps,Ristoranti/Pizzerie,Varese,Osteria Del Centenate,"Via Centenate, 15, 21100 Varese VA, Italia",0332 236422,http://www.ristoranteosteriadelcentenate.com/,,Rating: 4.4/1568
GoogleMaps,Ristoranti/Pizzerie,Varese,Osteria di Piazza Litta,"Piazza Litta, 4, 21100 Varese VA, Italia",0332 289167,https://www.facebook.com/Osteria-Di-Piazza-Litta-1430686717235840/,,Rating: 4.7/519
GoogleMaps,Ristoranti/Pizzerie,Varese,Ristorante Al Vecchio Convento,"Viale Luigi Borri, 348, 21100 Varese VA, Italia",0332 261005,https://www.alvecchioconvento.it/,,Rating: 4.5/935
GoogleMaps,Ristoranti/Pizzerie,Varese,Premiata Gnoccheria Risotteria Varese,"Via Carlo Cattaneo, 1, 21100 Varese VA, Italia",0332 831717,http://www.premiatagnoccheriarisotteria.com/,,Rating: 4.6/2309
GoogleMaps,Ristoranti/Pizzerie,Varese,La Vecchia Varese,"Via Ravasi, 37, 21100 Varese VA, Italia",327 184 5269,http://www.lavecchiavarese.it/,,Rating: 4.4/1271
GoogleMaps,Ristoranti/Pizzerie,Varese,Ristorante MareAmore | Varese,"Via Giuseppe Parini, 61, 21100 Varese VA, Italia",375 809 2368,https://www.ristorantemareamore.it/,,Rating: 4.6/279
GoogleMaps,Ristoranti/Pizzerie,Varese,"Ristorante ""il Riccio""","Viale Padre G. B. Aguggiari, 26, 21100 Varese VA, Italia",0332 288491,https://ilricciovarese.it/,,Rating: 4.8/448
GoogleMaps,Ristoranti/Pizzerie,Varese,La Terrazza,"Via Merano, 4, 21100 Varese VA, Italia",0332 334828,http://www.ristorantelaterrazzavarese.com/,,Rating: 4.5/672
GoogleMaps,Ristoranti/Pizzerie,Varese,Vecchia Osteria,"P.za Milite Ignoto, 1, 21100 Varese VA, Italia",0332 226121,http://www.locandavecchiaosteria.it/,,Rating: 4.6/432
GoogleMaps,Ristoranti/Pizzerie,Varese,Vecchia Trattoria della Pesa,"Via Carlo Cattaneo, 14, 21100 Varese VA, Italia",0332 287070,http://www.vecchiatrattoriadellapesa.com/,,Rating: 4.5/340
GoogleMaps,Ristoranti/Pizzerie,Varese,La Posteria,"Via Carlo Cattaneo, 3, 21100 Varese VA, Italia",0332 288277,http://www.laposteria.it/,,Rating: 4.4/641
GoogleMaps,Ristoranti/Pizzerie,Varese,Taverna Tarèl,"Via Vetera, 2, 21100 Varese VA, Italia",0332 281076,https://www.tavernatarel.com/,,Rating: 4.5/274
GoogleMaps,Ristoranti/Pizzerie,Varese,Il Gestore,"Viale Padre G. B. Aguggiari, 48, 21100 Varese VA, Italia",0332 236404,http://www.ristoranteilgestore.com/,,Rating: 4.6/376
GoogleMaps,Ristoranti/Pizzerie,Varese,Ristorante Ossobuco,"Viale Europa, 72, 21100 Varese VA, Italia",0332 285645,https://ristoranteossobuco.it/,,Rating: 4.6/264
GoogleMaps,Ristoranti/Pizzerie,Varese,Ripoli La Griglieria,"Piazza Cesare Beccaria, 4, 21100 Varese VA, Italia",0332 185 2945,,,Rating: 4.5/598
GoogleMaps,Ristoranti/Pizzerie,Varese,Ristorante Teatro,"Via Carlo Croce, 3, 21100 Varese VA, Italia",0332 241124,http://www.ristoranteteatro.it/,,Rating: 4.6/666
GoogleMaps,Ristoranti/Pizzerie,Varese,Al Vicolino,"Vicolo Scuole, n 3, 21100 Varese VA, Italia",0332 831838,https://www.vicolino.it/,,Rating: 4.3/909
GoogleMaps,Ristoranti/Pizzerie,Gallarate,L'Osteria dei Mercanti,"Via Giacomo Matteotti, 32, 21013 Gallarate VA, Italia",0331 770412,https://mymenuweb.com/it/restaurants/914955/?utm_source=google_profile&utm_medium=google_profile&utm_campaign=admin,,Rating: 4.3/1735
GoogleMaps,Ristoranti/Pizzerie,Gallarate,Turna Indrè Gallarate,"Via Alfredo Cappellini, 18, 21013 Gallarate VA, Italia",0331 158 8206,https://turnaindre.it/,,Rating: 4.5/415
GoogleMaps,Ristoranti/Pizzerie,Gallarate,L'osteria dei Peccatori Gallarate,"Corso Cristoforo Colombo, 39, 21013 Gallarate VA, Italia",320 686 0083,http://www.osteriadeipeccatori.it/,,Rating: 4.3/1498
