fonte,categoria,citta,nome,indirizzo,telefono,sito,descrizione,note
PagineGialle,ristoranti,Varese,Locanda del Chierichetto,"Piazza Bartolomeo Bai, 1 - 21046 Malnate (VA)",0332 861725,,,
PagineGialle,ristoranti,Varese,Scrivici,"Via Gaetano Donizetti, 5 - 21100 Varese (VA)",,,,
PagineGialle,ristoranti,Varese,WhatsApp,"Via Carlo Cattaneo, 1 - 21100 Varese (VA)",,,,
PagineGialle,ristoranti,Varese,Dalla Premiata Gnoccheria e Risotteria a Varese potrai assaporare tutto il gusto della cucina tradizionale.,"Via Vetta D'Italia, 40 - 21100 Varese (VA)",,,,
PagineGialle,ristoranti,Varese,WhatsApp,"Viale Valganna, 39- 21100 Varese (VA)",,,,
PagineGialle,ristoranti,Varese,Mareamore,"Via Parini Giuseppe, 61- 21100 Varese (VA)",375 8092368,,,
PagineGialle,ristoranti,Varese,Circolo di Capolago,"Via Fe', 21- 21100 Varese (VA)","0331 887181, 388 2453966, 328 1813137",,,
PagineGialle,ristoranti,Varese,La Terrazza,"Via Merano, 6- 21100 Varese (VA)",346 9852210,,,
PagineGialle,ristoranti,Varese,Vibes,"Via Donizetti Gaetano, 1- 21100 Varese (VA)",388 8249657,,,
PagineGialle,ristoranti,Varese,W11 Original Alpine Restaurant,"Via Veratti Cesare Giulio, 56- 21100 Varese (VA)",327 1752751,,,
PagineGialle,ristoranti,Varese,Le Arcate,"Via Jamoretti, 12- 21100 Varese (VA)",348 5258308,,,
PagineGialle,ristoranti,Varese,Tana D'Orso,"Via Mottarone, 43- 21100 Varese (VA)",0332 320392,,,
PagineGialle,ristoranti,Varese,Mikuna,"Via Bizzozero Giulio, 18- 21100 Varese (VA)",327 4257281,,,
PagineGialle,ristoranti,Varese,Miralago,"Via Mogno, 441/CADREZZATE- 21100 Varese (VA)",0331 953284,,,
PagineGialle,ristoranti,Varese,Ristorante Pizzeria La Piazza da Luis,"Via Carletto Ferrari, 48 - 21100 Bizzozero (VA)","0332 1951549, 346 2115378",,,
PagineGialle,ristoranti,Varese,Ambiente climatizzato,"Via Gaggio, 9 - 48033 Budrio (RA)",,,,
PagineGialle,ristoranti,Varese,Wifi gratuito,"Via Peregallo, 1 - 20836 Briosco (MB)",,,,
